iter	Passed	Remaining
774	1880	359
775	1881	356
776	1883	353
777	1885	351
778	1888	349
779	1890	346
780	1892	344
781	1893	341
782	1895	338
783	1897	336
784	1899	333
785	1901	331
786	1904	329
787	1905	326
788	1907	324
789	1909	321
790	1911	319
791	1913	316
792	1915	314
793	1917	311
794	1920	309
795	1922	306
796	1923	304
797	1925	301
798	1927	299
799	1929	296
800	1931	294
801	1933	291
802	1935	289
803	1937	286
804	1939	284
805	1941	281
806	1942	279
807	1944	276
808	1946	274
809	1949	271
810	1951	269
811	1953	267
812	1956	264
813	1958	262
814	1960	259
815	1962	257
816	1964	254
817	1966	252
818	1969	250
819	1971	247
820	1973	245
821	1975	242
822	1976	240
823	1979	237
824	1981	235
825	1984	232
826	1985	230
827	1987	228
828	1989	225
829	1991	223
830	1993	220
831	1995	218
832	1998	215
833	2000	213
834	2002	211
835	2003	208
836	2005	206
837	2007	203
838	2009	201
839	2011	198
840	2014	196
841	2015	193
842	2017	191
843	2019	189
844	2021	186
845	2023	184
846	2024	181
847	2027	179
848	2029	176
849	2031	174
850	2032	172
851	2034	169
852	2036	167
853	2038	164
854	2040	162
855	2041	159
856	2043	157
857	2045	154
858	2047	152
859	2049	150
860	2051	147
861	2052	145
862	2054	142
863	2056	140
864	2058	138
865	2061	135
866	2063	133
867	2065	130
868	2066	128
869	2068	126
870	2070	123
871	2072	121
872	2074	118
873	2076	116
874	2078	113
875	2079	111
876	2081	109
877	2083	106
878	2085	104
879	2087	101
880	2088	99
881	2091	97
882	2093	94
883	2095	92
884	2096	90
885	2098	87
886	2100	85
887	2102	82
888	2103	80
889	2106	78
890	2108	75
891	2110	73
892	2112	70
893	2114	68
894	2116	66
895	2119	63
896	2121	61
897	2124	59
898	2126	56
899	2128	54
900	2130	52
901	2133	49
902	2136	47
903	2138	44
904	2140	42
905	2143	40
906	2145	37
907	2148	35
908	2150	33
909	2153	30
910	2156	28
911	2158	26
912	2161	23
913	2164	21
914	2166	18
915	2169	16
916	2171	14
917	2173	11
918	2176	9
919	2178	7
920	2180	4
921	2182	2
922	2185	0
